Bezirk;Bez-Name;Ortsteil;Ortst-Name;Geschl;Staatsangeh;Altersgr;Häufigkeit
01;Mitte;0101;Mitte;1;A;00_05;337,00
01;Mitte;0101;Mitte;1;A;05_10;276,00
01;Mitte;0101;Mitte;1;A;10_15;246,00
01;Mitte;0101;Mitte;1;A;15_20;272,00
01;Mitte;0101;Mitte;1;A;20_25;910,00
01;Mitte;0101;Mitte;1;A;25_30;1990,00
01;Mitte;0101;Mitte;1;A;30_35;2222,00
01;Mitte;0101;Mitte;1;A;35_40;1641,00
01;Mitte;0101;Mitte;1;A;40_45;1229,00
01;Mitte;0101;Mitte;1;A;45_50;919,00
01;Mitte;0101;Mitte;1;A;50_55;641,00
01;Mitte;0101;Mitte;1;A;55_60;395,00
01;Mitte;0101;Mitte;1;A;60_65;248,00
01;Mitte;0101;Mitte;1;A;65_70;182,00
01;Mitte;0101;Mitte;1;A;70_75;108,00
01;Mitte;0101;Mitte;1;A;75_80;63,00
01;Mitte;0101;Mitte;1;A;80_85;30,00
01;Mitte;0101;Mitte;1;A;85_90;26,00
01;Mitte;0101;Mitte;1;A;90_95;6,00
01;Mitte;0101;Mitte;1;D;00_05;2025,00
01;Mitte;0101;Mitte;1;D;05_10;1565,00
01;Mitte;0101;Mitte;1;D;10_15;1114,00
01;Mitte;0101;Mitte;1;D;15_20;932,00
01;Mitte;0101;Mitte;1;D;20_25;1139,00
01;Mitte;0101;Mitte;1;D;25_30;2822,00
01;Mitte;0101;Mitte;1;D;30_35;3358,00
01;Mitte;0101;Mitte;1;D;35_40;3361,00
01;Mitte;0101;Mitte;1;D;40_45;3066,00
01;Mitte;0101;Mitte;1;D;45_50;3300,00
01;Mitte;0101;Mitte;1;D;50_55;2871,00
01;Mitte;0101;Mitte;1;D;55_60;1995,00
01;Mitte;0101;Mitte;1;D;60_65;1590,00
01;Mitte;0101;Mitte;1;D;65_70;1194,00
01;Mitte;0101;Mitte;1;D;70_75;1329,00
01;Mitte;0101;Mitte;1;D;75_80;1313,00
01;Mitte;0101;Mitte;1;D;80_85;837,00
01;Mitte;0101;Mitte;1;D;85_90;380,00
01;Mitte;0101;Mitte;1;D;90_95;93,00
01;Mitte;0101;Mitte;1;D;95 und älter;12,00
01;Mitte;0101;Mitte;2;A;00_05;301,00
01;Mitte;0101;Mitte;2;A;05_10;220,00
01;Mitte;0101;Mitte;2;A;10_15;231,00
01;Mitte;0101;Mitte;2;A;15_20;245,00
01;Mitte;0101;Mitte;2;A;20_25;1081,00
01;Mitte;0101;Mitte;2;A;25_30;2264,00
01;Mitte;0101;Mitte;2;A;30_35;2076,00
01;Mitte;0101;Mitte;2;A;35_40;1456,00
01;Mitte;0101;Mitte;2;A;40_45;1027,00
01;Mitte;0101;Mitte;2;A;45_50;728,00
01;Mitte;0101;Mitte;2;A;50_55;446,00
01;Mitte;0101;Mitte;2;A;55_60;325,00
01;Mitte;0101;Mitte;2;A;60_65;226,00
01;Mitte;0101;Mitte;2;A;65_70;194,00
01;Mitte;0101;Mitte;2;A;70_75;92,00
01;Mitte;0101;Mitte;2;A;75_80;68,00
01;Mitte;0101;Mitte;2;A;80_85;27,00
01;Mitte;0101;Mitte;2;A;85_90;12,00
01;Mitte;0101;Mitte;2;A;90_95;6,00
01;Mitte;0101;Mitte;2;D;00_05;1943,00
01;Mitte;0101;Mitte;2;D;05_10;1543,00
01;Mitte;0101;Mitte;2;D;10_15;1101,00
01;Mitte;0101;Mitte;2;D;15_20;922,00
01;Mitte;0101;Mitte;2;D;20_25;1342,00
01;Mitte;0101;Mitte;2;D;25_30;2867,00
01;Mitte;0101;Mitte;2;D;30_35;3314,00
01;Mitte;0101;Mitte;2;D;35_40;2958,00
01;Mitte;0101;Mitte;2;D;40_45;2411,00
01;Mitte;0101;Mitte;2;D;45_50;2632,00
01;Mitte;0101;Mitte;2;D;50_55;2417,00
01;Mitte;0101;Mitte;2;D;55_60;1828,00
01;Mitte;0101;Mitte;2;D;60_65;1660,00
01;Mitte;0101;Mitte;2;D;65_70;1272,00
01;Mitte;0101;Mitte;2;D;70_75;1748,00
01;Mitte;0101;Mitte;2;D;75_80;1948,00
01;Mitte;0101;Mitte;2;D;80_85;1130,00
01;Mitte;0101;Mitte;2;D;85_90;617,00
01;Mitte;0101;Mitte;2;D;90_95;254,00
01;Mitte;0101;Mitte;2;D;95 und älter;59,00
01;Mitte;0102;Moabit;1;A;00_05;285,00
01;Mitte;0102;Moabit;1;A;05_10;304,00
01;Mitte;0102;Moabit;1;A;10_15;220,00
01;Mitte;0102;Moabit;1;A;15_20;438,00
01;Mitte;0102;Moabit;1;A;20_25;1075,00
01;Mitte;0102;Moabit;1;A;25_30;1663,00
01;Mitte;0102;Moabit;1;A;30_35;1578,00
01;Mitte;0102;Moabit;1;A;35_40;1298,00
01;Mitte;0102;Moabit;1;A;40_45;1149,00
01;Mitte;0102;Moabit;1;A;45_50;1018,00
01;Mitte;0102;Moabit;1;A;50_55;856,00
01;Mitte;0102;Moabit;1;A;55_60;576,00
01;Mitte;0102;Moabit;1;A;60_65;364,00
01;Mitte;0102;Moabit;1;A;65_70;352,00
01;Mitte;0102;Moabit;1;A;70_75;275,00
01;Mitte;0102;Moabit;1;A;75_80;216,00
01;Mitte;0102;Moabit;1;A;80_85;81,00
01;Mitte;0102;Moabit;1;A;85_90;18,00
01;Mitte;0102;Moabit;1;A;90_95;9,00
01;Mitte;0102;Moabit;1;A;95 und älter;3,00
01;Mitte;0102;Moabit;1;D;00_05;1601,00
01;Mitte;0102;Moabit;1;D;05_10;1206,00
01;Mitte;0102;Moabit;1;D;10_15;1146,00
01;Mitte;0102;Moabit;1;D;15_20;1152,00
01;Mitte;0102;Moabit;1;D;20_25;2012,00
01;Mitte;0102;Moabit;1;D;25_30;3246,00
01;Mitte;0102;Moabit;1;D;30_35;2809,00
01;Mitte;0102;Moabit;1;D;35_40;2072,00
01;Mitte;0102;Moabit;1;D;40_45;1682,00
01;Mitte;0102;Moabit;1;D;45_50;1960,00
01;Mitte;0102;Moabit;1;D;50_55;2273,00
01;Mitte;0102;Moabit;1;D;55_60;1803,00
01;Mitte;0102;Moabit;1;D;60_65;1522,00
01;Mitte;0102;Moabit;1;D;65_70;1141,00
01;Mitte;0102;Moabit;1;D;70_75;957,00
01;Mitte;0102;Moabit;1;D;75_80;709,00
01;Mitte;0102;Moabit;1;D;80_85;367,00
01;Mitte;0102;Moabit;1;D;85_90;145,00
01;Mitte;0102;Moabit;1;D;90_95;25,00
01;Mitte;0102;Moabit;1;D;95 und älter;6,00
01;Mitte;0102;Moabit;2;A;00_05;292,00
01;Mitte;0102;Moabit;2;A;05_10;294,00
01;Mitte;0102;Moabit;2;A;10_15;229,00
01;Mitte;0102;Moabit;2;A;15_20;395,00
01;Mitte;0102;Moabit;2;A;20_25;1005,00
01;Mitte;0102;Moabit;2;A;25_30;1513,00
01;Mitte;0102;Moabit;2;A;30_35;1310,00
01;Mitte;0102;Moabit;2;A;35_40;1014,00
01;Mitte;0102;Moabit;2;A;40_45;904,00
01;Mitte;0102;Moabit;2;A;45_50;734,00
01;Mitte;0102;Moabit;2;A;50_55;628,00
01;Mitte;0102;Moabit;2;A;55_60;509,00
01;Mitte;0102;Moabit;2;A;60_65;478,00
01;Mitte;0102;Moabit;2;A;65_70;461,00
01;Mitte;0102;Moabit;2;A;70_75;266,00
01;Mitte;0102;Moabit;2;A;75_80;167,00
01;Mitte;0102;Moabit;2;A;80_85;78,00
01;Mitte;0102;Moabit;2;A;85_90;27,00
01;Mitte;0102;Moabit;2;A;90_95;9,00
01;Mitte;0102;Moabit;2;A;95 und älter;3,00
01;Mitte;0102;Moabit;2;D;00_05;1511,00
01;Mitte;0102;Moabit;2;D;05_10;1233,00
01;Mitte;0102;Moabit;2;D;10_15;1126,00
