Bezirk;Bez-Name;Ortsteil;Ortst-Name;Geschl;Staatsangeh;Altersgr;Häufigkeit
1;Mitte;101;Mitte;1;A;00_05;375
1;Mitte;101;Mitte;1;A;05_10;335
1;Mitte;101;Mitte;1;A;10_15;249
1;Mitte;101;Mitte;1;A;15_20;291
1;Mitte;101;Mitte;1;A;20_25;933
1;Mitte;101;Mitte;1;A;25_30;2116
1;Mitte;101;Mitte;1;A;30_35;2336
1;Mitte;101;Mitte;1;A;35_40;1777
1;Mitte;101;Mitte;1;A;40_45;1302
1;Mitte;101;Mitte;1;A;45_50;964
1;Mitte;101;Mitte;1;A;50_55;704
1;Mitte;101;Mitte;1;A;55_60;438
1;Mitte;101;Mitte;1;A;60_65;270
1;Mitte;101;Mitte;1;A;65_70;187
1;Mitte;101;Mitte;1;A;70_75;118
1;Mitte;101;Mitte;1;A;75_80;66
1;Mitte;101;Mitte;1;A;80_85;33
1;Mitte;101;Mitte;1;A;85_90;15
1;Mitte;101;Mitte;1;A;90_95;6
1;Mitte;101;Mitte;1;D;00_05;2049
1;Mitte;101;Mitte;1;D;05_10;1586
1;Mitte;101;Mitte;1;D;10_15;1189
1;Mitte;101;Mitte;1;D;15_20;921
1;Mitte;101;Mitte;1;D;20_25;1130
1;Mitte;101;Mitte;1;D;25_30;2783
1;Mitte;101;Mitte;1;D;30_35;3412
1;Mitte;101;Mitte;1;D;35_40;3430
1;Mitte;101;Mitte;1;D;40_45;3050
1;Mitte;101;Mitte;1;D;45_50;3288
1;Mitte;101;Mitte;1;D;50_55;2985
1;Mitte;101;Mitte;1;D;55_60;2043
1;Mitte;101;Mitte;1;D;60_65;1613
1;Mitte;101;Mitte;1;D;65_70;1286
1;Mitte;101;Mitte;1;D;70_75;1213
1;Mitte;101;Mitte;1;D;75_80;1371
1;Mitte;101;Mitte;1;D;80_85;839
1;Mitte;101;Mitte;1;D;85_90;415
1;Mitte;101;Mitte;1;D;90_95;99
1;Mitte;101;Mitte;1;D;95 und älter;9
1;Mitte;101;Mitte;2;A;00_05;364
1;Mitte;101;Mitte;2;A;05_10;256
1;Mitte;101;Mitte;2;A;10_15;226
1;Mitte;101;Mitte;2;A;15_20;272
1;Mitte;101;Mitte;2;A;20_25;1129
1;Mitte;101;Mitte;2;A;25_30;2354
1;Mitte;101;Mitte;2;A;30_35;2259
1;Mitte;101;Mitte;2;A;35_40;1475
1;Mitte;101;Mitte;2;A;40_45;1096
1;Mitte;101;Mitte;2;A;45_50;806
1;Mitte;101;Mitte;2;A;50_55;479
1;Mitte;101;Mitte;2;A;55_60;333
1;Mitte;101;Mitte;2;A;60_65;244
1;Mitte;101;Mitte;2;A;65_70;180
1;Mitte;101;Mitte;2;A;70_75;93
1;Mitte;101;Mitte;2;A;75_80;71
1;Mitte;101;Mitte;2;A;80_85;34
1;Mitte;101;Mitte;2;A;85_90;16
1;Mitte;101;Mitte;2;A;90_95;6
