"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
4221_700,241,"864","",700,"","",""
4222_700,241,"865","",700,"","",""
4223_700,241,"868","",700,"","",""
4224_700,241,"873","",700,"","",""
4225_700,241,"874","",700,"","",""
4226_700,241,"875","",700,"","",""
4227_700,241,"876","",700,"","",""
4228_700,241,"877","",700,"","",""
4229_700,241,"878","",700,"","",""
4231_700,241,"880","",700,"","",""
4232_700,241,"881","",700,"","",""
4234_700,241,"883","",700,"","",""
4235_700,241,"884","",700,"","",""
4236_700,241,"885","",700,"","",""
4237_700,241,"886","",700,"","",""
4238_700,241,"887","",700,"","",""
4239_700,241,"890","",700,"","",""
4240_700,241,"891","",700,"","",""
4241_700,241,"892","",700,"","",""
4242_700,241,"893","",700,"","",""
4243_700,241,"894","",700,"","",""
4244_700,241,"895","",700,"","",""
4245_700,241,"896","",700,"","",""
4247_700,241,"898","",700,"","",""
4248_700,241,"899","",700,"","",""
4249_700,241,"900","",700,"","",""
4250_700,241,"901","",700,"","",""
4251_700,241,"902","",700,"","",""
4253_700,241,"904","",700,"","",""
4254_700,241,"905","",700,"","",""
4256_700,241,"907","",700,"","",""
4257_700,241,"908","",700,"","",""
4258_700,241,"909","",700,"","",""
4259_700,241,"910","",700,"","",""
4260_700,241,"911","",700,"","",""
4261_700,241,"912","",700,"","",""
4262_700,241,"913","",700,"","",""
4264_700,241,"915","",700,"","",""
4265_700,241,"916","",700,"","",""
4266_700,241,"918","",700,"","",""
4267_700,241,"919","",700,"","",""
4268_700,241,"920","",700,"","",""
4269_700,241,"921","",700,"","",""
4270_700,241,"922","",700,"","",""
4271_700,241,"923","",700,"","",""
4281_700,241,"861","",700,"","",""
4287_700,241,"862","",700,"","",""
7251_700,241,"869","",700,"","",""
10234_700,241,"917","",700,"","",""
14428_700,241,"863","",700,"","",""
14733_700,241,"867","",700,"","",""
16374_700,241,"882","",700,"","",""
18619_700,241,"RB12","",700,"","",""
18624_700,241,"893","",700,"","",""
19009_700,241,"897","",700,"","",""
19189_700,241,"RB25","",700,"","",""
19244_700,241,"914","",700,"","",""
19309_700,241,"RB26","",700,"","",""
19314_700,241,"RB35","",700,"","",""
19319_700,241,"RB25","",700,"","",""
4491_700,246,"621","",700,"","",""
4492_700,246,"700","",700,"","",""
4493_3,246,"701","",3,"","",""
4493_700,246,"701","",700,"","",""
4495_3,246,"702","",3,"","",""
4495_700,246,"702","",700,"","",""
4496_700,246,"703","",700,"","",""
4497_3,246,"704","",3,"","",""
4497_700,246,"704","",700,"","",""
4498_3,246,"705","",3,"","",""
4498_700,246,"705","",700,"","",""
4499_700,246,"706","",700,"","",""
4501_700,246,"707","",700,"","",""
